"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (127C, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (128N, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (128C, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (129N, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (129C, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (130N, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (130C, Quinine51) / (126, Quinine51)"	"Abundance Ratio: (131, Quinine51) / (126, Quinine51)"	"Abundance: F5: 126, Sample, Quinine51"	"Abundance: F5: 127N, Sample, Quinine51"	"Abundance: F5: 127C, Sample, Quinine51"	"Abundance: F5: 128N, Sample, Quinine51"	"Abundance: F5: 128C, Sample, Quinine51"	"Abundance: F5: 129N, Sample, Quinine51"	"Abundance: F5: 129C, Sample, Quinine51"	"Abundance: F5: 130N, Sample, Quinine51"	"Abundance: F5: 130C, Sample, Quinine51"	"Abundance: F5: 131, Sample, Quinine51"	"Abundances Count: F5: 126, Sample, Quinine51"	"Abundances Count: F5: 127N, Sample, Quinine51"	"Abundances Count: F5: 127C, Sample, Quinine51"	"Abundances Count: F5: 128N, Sample, Quinine51"	"Abundances Count: F5: 128C, Sample, Quinine51"	"Abundances Count: F5: 129N, Sample, Quinine51"	"Abundances Count: F5: 129C, Sample, Quinine51"	"Abundances Count: F5: 130N, Sample, Quinine51"	"Abundances Count: F5: 130C, Sample, Quinine51"	"Abundances Count: F5: 131, Sample, Quinine51"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"79.8206278026906"	"33"	"893"	"31"	"1"	"446"	"48.647"	"6.6"	""	"0.937"	"1.120"	"1.128"	"1.009"	"1.035"	"0.901"	"1.027"	"0.971"	"0.776"	"69107.2"	"64727.1"	"77428.3"	"77979.7"	"69729.7"	"71547.6"	"62243.8"	"71002.1"	"67113.5"	"53657.8"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"232629.507"	"3"	"19699.5778327921"	"33"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"75.7603686635945"	"74"	"1000"	"74"	"1"	"1085"	"125.983"	"7.56"	""	"0.898"	"1.125"	"1.090"	"0.996"	"1.013"	"0.887"	"0.995"	"0.882"	"0.715"	"69431.6"	"62384.1"	"78090.8"	"75645.9"	"69173.6"	"70315.1"	"61595.8"	"69086.6"	"61221.7"	"49629.7"	"179"	"179"	"179"	"179"	"179"	"179"	"179"	"179"	"179"	"179"	"20656.059"	"0"	"17621.2518829992"	"74"
"False"	"IsMasterProtein"	"PF3D7_1462800"	"organism=Plasmodium_falciparum_3D7 | product=glyceraldehyde-3-phosphate dehydrogenase (GAPDH) | location=Pf3D7_14_v3:2559098-2560347(+) | length=337 | sequence_SO=chromosome | SO=protein_coding"	"89.0207715133531"	"32"	"731"	"31"	"1"	"337"	"36.612"	"7.69"	""	"0.896"	"1.186"	"1.135"	"0.991"	"0.960"	"0.893"	"1.009"	"0.898"	"0.694"	"51843.5"	"46462.2"	"61509.6"	"58835.6"	"51391.2"	"49762.8"	"46275.0"	"52333.3"	"46539.1"	"35996.1"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"99999"	"1"	"15381.6267527249"	"32"
"False"	"IsMasterProtein"	"PF3D7_1149000"	"organism=Plasmodium_falciparum_3D7 | product=antigen 332, DBL-like protein (Pf332) | location=Pf3D7_11_v3:1950210-1968726(+) | length=6093 | sequence_SO=chromosome | SO=protein_coding"	"37.3379287707205"	"174"	"439"	"174"	"1"	"6093"	"688.87"	"3.89"	""	"0.901"	"1.080"	"1.104"	"1.001"	"1.002"	"0.896"	"1.022"	"0.868"	"0.724"	"30988.6"	"27911.5"	"33479.4"	"34211.1"	"31016.7"	"31056.0"	"27777.7"	"31665.1"	"26891.9"	"22426.2"	"217"	"217"	"217"	"217"	"217"	"217"	"217"	"217"	"217"	"217"	"14.714"	"0"	"10288.9100616328"	"174"
"False"	"IsMasterProtein"	"PF3D7_0608800"	"organism=Plasmodium_falciparum_3D7 | product=ornithine aminotransferase (OAT) | location=Pf3D7_06_v3:362635-363879(+) | length=414 | sequence_SO=chromosome | SO=protein_coding"	"82.3671497584541"	"29"	"495"	"29"	"1"	"414"	"46.025"	"6.89"	""	"0.877"	"1.126"	"1.085"	"0.992"	"1.005"	"0.889"	"1.028"	"1.022"	"0.756"	"33879.5"	"29710.4"	"38135.5"	"36769.2"	"33615.0"	"34053.5"	"30127.3"	"34827.8"	"34610.8"	"25599.5"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"17781.794"	"0"	"10040.5477205788"	"29"
"False"	"IsMasterProtein"	"PF3D7_0207600"	"organism=Plasmodium_falciparum_3D7 | product=serine repeat antigen 5 (SERA5) | location=Pf3D7_02_v3:303593-307027(-) | length=997 | sequence_SO=chromosome | SO=protein_coding"	"57.7733199598796"	"52"	"457"	"51"	"1"	"997"	"111.698"	"5.41"	""	"0.914"	"1.122"	"1.061"	"0.974"	"0.962"	"0.874"	"1.000"	"0.817"	"0.665"	"28438.7"	"25998.9"	"31907.6"	"30184.4"	"27689.1"	"27350.9"	"24843.5"	"28450.3"	"23226.1"	"18923.7"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"463.159"	"1"	"9210.21534676122"	"52"
"False"	"IsMasterProtein"	"PF3D7_1029600"	"organism=Plasmodium_falciparum_3D7 | product=adenosine deaminase (ADA) | location=Pf3D7_10_v3:1206302-1207405(+) | length=367 | sequence_SO=chromosome | SO=protein_coding"	"59.9455040871935"	"21"	"527"	"21"	"1"	"367"	"42.438"	"5.69"	""	"0.964"	"1.137"	"1.198"	"1.018"	"1.042"	"0.924"	"1.026"	"1.014"	"0.761"	"52691.4"	"50781.9"	"59906.9"	"63122.0"	"53650.6"	"54881.1"	"48663.8"	"54044.4"	"53405.8"	"40122.7"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"3830.187"	"0"	"9197.27539766481"	"21"
"False"	"IsMasterProtein"	"PF3D7_0511800"	"organism=Plasmodium_falciparum_3D7 | product=inositol-3-phosphate synthase (INO1) | location=Pf3D7_05_v3:520720-522693(-) | length=604 | sequence_SO=chromosome | SO=protein_coding"	"57.9470198675497"	"38"	"406"	"38"	"1"	"604"	"69.069"	"7.4"	""	"0.918"	"1.128"	"1.098"	"0.985"	"1.007"	"0.891"	"1.004"	"0.888"	"0.720"	"38869.6"	"35680.6"	"43862.6"	"42667.4"	"38304.4"	"39136.2"	"34636.3"	"39039.4"	"34524.5"	"27985.6"	"84"	"84"	"84"	"84"	"84"	"84"	"84"	"84"	"84"	"84"	"3358.818"	"0"	"6994.20087255491"	"38"
"False"	"IsMasterProtein"	"PF3D7_0513300"	"organism=Plasmodium_falciparum_3D7 | product=purine nucleoside phosphorylase (PNP) | location=Pf3D7_05_v3:569182-569919(-) | length=245 | sequence_SO=chromosome | SO=protein_coding"	"82.0408163265306"	"15"	"293"	"15"	"1"	"245"	"26.841"	"6.52"	""	"0.933"	"1.104"	"1.134"	"0.955"	"1.041"	"0.897"	"1.025"	"0.937"	"0.771"	"12617.2"	"11767.1"	"13932.6"	"14312.2"	"12055.7"	"13132.3"	"11323.8"	"12931.4"	"11826.9"	"9726.3"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"51793.747"	"0"	"6991.86413223141"	"15"
"False"	"IsMasterProtein"	"PF3D7_0520900"	"organism=Plasmodium_falciparum_3D7 | product=S-adenosyl-L-homocysteine hydrolase (SAHH) | location=Pf3D7_05_v3:857038-858477(+) | length=479 | sequence_SO=chromosome | SO=protein_coding"	"44.0501043841336"	"21"	"338"	"21"	"1"	"479"	"53.804"	"5.92"	""	"0.976"	"1.176"	"1.174"	"0.974"	"1.027"	"0.902"	"1.051"	"0.924"	"0.798"	"18030.4"	"17605.6"	"21203.3"	"21172.1"	"17555.7"	"18518.8"	"16265.1"	"18953.5"	"16654.2"	"14387.1"	"45"	"45"	"45"	"45"	"45"	"45"	"45"	"45"	"45"	"45"	"920.055"	"0"	"5953.65687324364"	"21"
