"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (127C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (128N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (128C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (129N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (129C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (130N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (130C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (131, Quinine57) / (126, Quinine57)"	"Abundance: F3: 126, Sample, Quinine57"	"Abundance: F3: 127N, Sample, Quinine57"	"Abundance: F3: 127C, Sample, Quinine57"	"Abundance: F3: 128N, Sample, Quinine57"	"Abundance: F3: 128C, Sample, Quinine57"	"Abundance: F3: 129N, Sample, Quinine57"	"Abundance: F3: 129C, Sample, Quinine57"	"Abundance: F3: 130N, Sample, Quinine57"	"Abundance: F3: 130C, Sample, Quinine57"	"Abundance: F3: 131, Sample, Quinine57"	"Abundances Count: F3: 126, Sample, Quinine57"	"Abundances Count: F3: 127N, Sample, Quinine57"	"Abundances Count: F3: 127C, Sample, Quinine57"	"Abundances Count: F3: 128N, Sample, Quinine57"	"Abundances Count: F3: 128C, Sample, Quinine57"	"Abundances Count: F3: 129N, Sample, Quinine57"	"Abundances Count: F3: 129C, Sample, Quinine57"	"Abundances Count: F3: 130N, Sample, Quinine57"	"Abundances Count: F3: 130C, Sample, Quinine57"	"Abundances Count: F3: 131, Sample, Quinine57"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"79.372197309417"	"33"	"972"	"31"	"1"	"446"	"48.647"	"6.6"	""	"1.045"	"1.370"	"1.372"	"1.364"	"1.342"	"1.366"	"1.316"	"1.013"	"1.127"	"57478.6"	"60040.8"	"78725.5"	"78870.4"	"78383.6"	"77154.2"	"78534.9"	"75639.0"	"58207.6"	"64778.9"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"158488.319"	"3"	"21702.2456887704"	"33"
"False"	"IsMasterProtein"	"PF3D7_1462800"	"organism=Plasmodium_falciparum_3D7 | product=glyceraldehyde-3-phosphate dehydrogenase (GAPDH) | location=Pf3D7_14_v3:2559098-2560347(+) | length=337 | sequence_SO=chromosome | SO=protein_coding"	"90.8011869436202"	"34"	"814"	"33"	"1"	"337"	"36.612"	"7.69"	""	"0.844"	"1.062"	"1.109"	"1.073"	"1.188"	"1.261"	"1.227"	"0.811"	"0.920"	"50888.2"	"42948.1"	"54044.3"	"56423.2"	"54605.9"	"60470.7"	"64177.0"	"62415.4"	"41262.9"	"46839.0"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"231011.97"	"2"	"16598.3487967605"	"34"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"70.8755760368664"	"72"	"749"	"72"	"1"	"1085"	"125.983"	"7.56"	""	"1.029"	"1.344"	"1.289"	"1.260"	"1.297"	"1.289"	"1.191"	"0.932"	"1.077"	"42499.7"	"43733.8"	"57104.7"	"54794.7"	"53544.6"	"55103.3"	"54769.1"	"50635.4"	"39590.4"	"45771.1"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"4995.089"	"0"	"13130.1072879105"	"72"
"False"	"IsMasterProtein"	"PF3D7_1029600"	"organism=Plasmodium_falciparum_3D7 | product=adenosine deaminase (ADA) | location=Pf3D7_10_v3:1206302-1207405(+) | length=367 | sequence_SO=chromosome | SO=protein_coding"	"70.299727520436"	"24"	"575"	"24"	"1"	"367"	"42.438"	"5.69"	""	"1.067"	"1.386"	"1.399"	"1.371"	"1.342"	"1.389"	"1.313"	"1.043"	"1.133"	"41667.6"	"44477.5"	"57738.6"	"58302.9"	"57117.3"	"55934.9"	"57860.4"	"54713.3"	"43452.2"	"47209.2"	"49"	"49"	"49"	"49"	"49"	"49"	"49"	"49"	"49"	"49"	"8253.042"	"0"	"10536.7235155114"	"24"
"False"	"IsMasterProtein"	"PF3D7_1149000"	"organism=Plasmodium_falciparum_3D7 | product=antigen 332, DBL-like protein (Pf332) | location=Pf3D7_11_v3:1950210-1968726(+) | length=6093 | sequence_SO=chromosome | SO=protein_coding"	"37.2722796651896"	"167"	"379"	"167"	"1"	"6093"	"688.87"	"3.89"	""	"0.994"	"1.310"	"1.273"	"1.284"	"1.237"	"1.304"	"1.228"	"0.911"	"1.055"	"20191.7"	"20078.7"	"26452.4"	"25712.2"	"25922.8"	"24985.6"	"26325.7"	"24793.6"	"18388.4"	"21296.3"	"186"	"186"	"186"	"186"	"186"	"186"	"186"	"186"	"186"	"186"	"10.078"	"0"	"8432.75007938138"	"167"
"False"	"IsMasterProtein"	"PF3D7_0513300"	"organism=Plasmodium_falciparum_3D7 | product=purine nucleoside phosphorylase (PNP) | location=Pf3D7_05_v3:569182-569919(-) | length=245 | sequence_SO=chromosome | SO=protein_coding"	"87.7551020408163"	"18"	"293"	"18"	"1"	"245"	"26.841"	"6.52"	""	"1.049"	"1.370"	"1.328"	"1.394"	"1.432"	"1.562"	"1.582"	"1.222"	"1.376"	"10426.6"	"10939.0"	"14281.1"	"13841.4"	"14537.5"	"14927.4"	"16284.5"	"16497.3"	"12737.8"	"14351.5"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"99999"	"0"	"6868.3809802975"	"18"
"False"	"IsMasterProtein"	"PF3D7_0511800"	"organism=Plasmodium_falciparum_3D7 | product=inositol-3-phosphate synthase (INO1) | location=Pf3D7_05_v3:520720-522693(-) | length=604 | sequence_SO=chromosome | SO=protein_coding"	"63.0794701986755"	"41"	"424"	"41"	"1"	"604"	"69.069"	"7.4"	""	"1.032"	"1.340"	"1.298"	"1.295"	"1.301"	"1.342"	"1.285"	"0.957"	"1.080"	"28784.3"	"29696.4"	"38580.6"	"37371.7"	"37272.9"	"37455.9"	"38623.3"	"37001.8"	"27551.6"	"31084.6"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"5795.394"	"0"	"6822.8280117561"	"41"
"False"	"IsMasterProtein"	"PF3D7_1444800"	"organism=Plasmodium_falciparum_3D7 | product=fructose-bisphosphate aldolase (FBPA) | location=Pf3D7_14_v3:1844041-1845617(-) | length=369 | sequence_SO=chromosome | SO=protein_coding"	"69.1056910569106"	"23"	"294"	"23"	"1"	"369"	"40.08"	"8.12"	"Acetyl [N-Term]"	"0.585"	"0.713"	"0.778"	"0.718"	"0.823"	"0.981"	"0.885"	"0.471"	"0.606"	"25758.5"	"15066.8"	"18354.7"	"20047.7"	"18487.2"	"21197.0"	"25258.9"	"22800.5"	"12119.9"	"15616.4"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"8184.467"	"0"	"6522.93848374436"	"23"
"False"	"IsMasterProtein"	"PF3D7_1454400"	"organism=Plasmodium_falciparum_3D7 | product=aminopeptidase P (APP) | location=Pf3D7_14_v3:2234143-2236476(+) | length=777 | sequence_SO=chromosome | SO=protein_coding"	"51.994851994852"	"39"	"379"	"39"	"1"	"777"	"90.073"	"6.81"	""	"1.059"	"1.425"	"1.338"	"1.300"	"1.327"	"1.369"	"1.312"	"0.991"	"1.142"	"22063.1"	"23364.3"	"31429.2"	"29527.6"	"28687.5"	"29284.9"	"30193.8"	"28941.2"	"21863.2"	"25201.8"	"78"	"78"	"78"	"78"	"78"	"78"	"78"	"78"	"78"	"78"	"456.088"	"0"	"6357.55499455046"	"39"
"False"	"IsMasterProtein"	"PF3D7_0207600"	"organism=Plasmodium_falciparum_3D7 | product=serine repeat antigen 5 (SERA5) | location=Pf3D7_02_v3:303593-307027(-) | length=997 | sequence_SO=chromosome | SO=protein_coding"	"54.9648946840522"	"49"	"310"	"48"	"1"	"997"	"111.698"	"5.41"	""	"0.934"	"1.191"	"1.183"	"1.239"	"1.258"	"1.305"	"1.251"	"0.903"	"0.966"	"15692.7"	"14652.0"	"18690.2"	"18568.5"	"19436.0"	"19745.9"	"20472.2"	"19629.9"	"14164.4"	"15151.6"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"148.487"	"1"	"5720.65160962244"	"49"
