"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, DMSO) / (126, DMSO)"	"Abundance Ratio: (127C, DMSO) / (126, DMSO)"	"Abundance Ratio: (128N, DMSO) / (126, DMSO)"	"Abundance Ratio: (128C, DMSO) / (126, DMSO)"	"Abundance Ratio: (129N, DMSO) / (126, DMSO)"	"Abundance Ratio: (129C, DMSO) / (126, DMSO)"	"Abundance Ratio: (130N, DMSO) / (126, DMSO)"	"Abundance Ratio: (130C, DMSO) / (126, DMSO)"	"Abundance Ratio: (131, DMSO) / (126, DMSO)"	"Abundance: F1: 126, Sample, DMSO"	"Abundance: F1: 127N, Sample, DMSO"	"Abundance: F1: 127C, Sample, DMSO"	"Abundance: F1: 128N, Sample, DMSO"	"Abundance: F1: 128C, Sample, DMSO"	"Abundance: F1: 129N, Sample, DMSO"	"Abundance: F1: 129C, Sample, DMSO"	"Abundance: F1: 130N, Sample, DMSO"	"Abundance: F1: 130C, Sample, DMSO"	"Abundance: F1: 131, Sample, DMSO"	"Abundances Count: F1: 126, Sample, DMSO"	"Abundances Count: F1: 127N, Sample, DMSO"	"Abundances Count: F1: 127C, Sample, DMSO"	"Abundances Count: F1: 128N, Sample, DMSO"	"Abundances Count: F1: 128C, Sample, DMSO"	"Abundances Count: F1: 129N, Sample, DMSO"	"Abundances Count: F1: 129C, Sample, DMSO"	"Abundances Count: F1: 130N, Sample, DMSO"	"Abundances Count: F1: 130C, Sample, DMSO"	"Abundances Count: F1: 131, Sample, DMSO"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"59.4170403587444"	"24"	"597"	"22"	"1"	"446"	"48.647"	"6.6"	""	"0.985"	"0.990"	"0.963"	"0.817"	"0.772"	"0.791"	"0.796"	"0.675"	"0.472"	"70019.7"	"68965.1"	"69307.7"	"67434.4"	"57204.6"	"54087.5"	"55399.7"	"55756.0"	"47245.5"	"33019.4"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"145.78"	"3"	"14719.3907585066"	"24"
"False"	"IsMasterProtein"	"PF3D7_1444800"	"organism=Plasmodium_falciparum_3D7 | product=fructose-bisphosphate aldolase (FBPA) | location=Pf3D7_14_v3:1844041-1845617(-) | length=369 | sequence_SO=chromosome | SO=protein_coding"	"58.2655826558266"	"20"	"397"	"20"	"1"	"369"	"40.08"	"8.12"	"Acetyl [N-Term]"	"1.038"	"0.974"	"0.975"	"0.806"	"0.757"	"0.741"	"0.627"	"0.153"	"0.132"	"55603.2"	"57723.8"	"54140.7"	"54205.5"	"44834.3"	"42108.8"	"41226.2"	"34858.2"	"8495.8"	"7363.3"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"181.335"	"0"	"11875.3134675775"	"20"
"False"	"IsMasterProtein"	"PF3D7_0708400"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 90 (HSP90) | location=Pf3D7_07_v3:381592-384614(+) | length=745 | sequence_SO=chromosome | SO=protein_coding"	"46.9798657718121"	"38"	"462"	"34"	"1"	"745"	"86.112"	"5.01"	""	"0.941"	"0.612"	"0.241"	"0.093"	"0.066"	"0.052"	"0.047"	"0.039"	"0.036"	"146943.0"	"138310.6"	"89956.6"	"35443.2"	"13730.5"	"9728.7"	"7693.7"	"6977.0"	"5729.1"	"5306.8"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"66.002"	"8"	"10200.4881836322"	"38"
"False"	"IsMasterProtein"	"PF3D7_1107300"	"organism=Plasmodium_falciparum_3D7 | product=polyadenylate-binding protein-interacting protein 1, putative (PAIP1) | location=Pf3D7_11_v3:301283-311287(-) | length=3334 | sequence_SO=chromosome | SO=protein_coding"	"36.7426514697061"	"110"	"799"	"110"	"1"	"3334"	"381.639"	"7.05"	"Acetyl [N-Term]"	"0.930"	"0.959"	"0.925"	"0.754"	"0.684"	"0.694"	"0.701"	"0.611"	"0.642"	"61899.4"	"57556.5"	"59365.4"	"57239.4"	"46655.0"	"42336.6"	"42931.9"	"43365.2"	"37817.2"	"39747.3"	"218"	"218"	"218"	"218"	"218"	"218"	"218"	"218"	"218"	"218"	"28.002"	"0"	"9857.5131025574"	"110"
"False"	"IsMasterProtein"	"PF3D7_1110400"	"organism=Plasmodium_falciparum_3D7 | product=asparagine-rich antigen | location=Pf3D7_11_v3:414797-419556(+) | length=1483 | sequence_SO=chromosome | SO=protein_coding"	"44.2346594740391"	"66"	"630"	"66"	"1"	"1483"	"173.819"	"9.17"	"Acetyl [N-Term]"	"0.949"	"0.978"	"0.941"	"0.798"	"0.738"	"0.752"	"0.750"	"0.658"	"0.682"	"57142.4"	"54256.4"	"55865.5"	"53743.5"	"45616.7"	"42189.0"	"42947.3"	"42869.7"	"37621.3"	"38976.0"	"173"	"173"	"173"	"173"	"173"	"173"	"173"	"173"	"173"	"173"	"302.339"	"0"	"9690.77628254704"	"66"
"False"	"IsMasterProtein"	"PF3D7_0818900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70) | location=Pf3D7_08_v3:860384-862417(+) | length=677 | sequence_SO=chromosome | SO=protein_coding"	"43.1314623338257"	"29"	"487"	"20"	"1"	"677"	"73.868"	"5.67"	""	"0.949"	"0.660"	"0.286"	"0.149"	"0.120"	"0.110"	"0.108"	"0.089"	"0.077"	"90448.6"	"85856.5"	"59667.0"	"25905.6"	"13477.0"	"10897.5"	"9966.3"	"9765.6"	"8062.7"	"7000.5"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"78.88"	"6"	"9652.40390479023"	"29"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"58.8018433179723"	"60"	"553"	"60"	"1"	"1085"	"125.983"	"7.56"	""	"0.951"	"0.967"	"0.982"	"0.806"	"0.714"	"0.436"	"0.145"	"0.106"	"0.082"	"60070.8"	"57113.5"	"58091.7"	"58976.0"	"48396.0"	"42897.1"	"26173.9"	"8735.1"	"6392.6"	"4932.3"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"76.698"	"0"	"8998.1553040198"	"60"
"False"	"IsMasterProtein"	"PF3D7_0626800"	"organism=Plasmodium_falciparum_3D7 | product=pyruvate kinase (PyrK) | location=Pf3D7_06_v3:1078995-1081320(+) | length=511 | sequence_SO=chromosome | SO=protein_coding"	"69.2759295499021"	"27"	"408"	"27"	"1"	"511"	"55.625"	"7.55"	""	"0.932"	"0.950"	"0.931"	"0.784"	"0.689"	"0.565"	"0.376"	"0.235"	"0.110"	"47937.0"	"44682.7"	"45533.9"	"44651.3"	"37582.9"	"33048.3"	"27072.9"	"18002.0"	"11250.0"	"5274.5"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"46.476"	"0"	"8858.10737398608"	"27"
"False"	"IsMasterProtein"	"PF3D7_1036900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_10_v3:1452599-1458006(-) | length=1681 | sequence_SO=chromosome | SO=protein_coding"	"36.5258774538965"	"54"	"456"	"54"	"1"	"1681"	"192.569"	"9.26"	""	"0.951"	"0.980"	"0.956"	"0.817"	"0.771"	"0.798"	"0.812"	"0.719"	"0.758"	"36529.9"	"34736.2"	"35806.1"	"34910.0"	"29837.1"	"28175.6"	"29154.6"	"29653.0"	"26253.2"	"27684.4"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"63.223"	"0"	"8045.08863272765"	"54"
"False"	"IsMasterProtein"	"PF3D7_0608800"	"organism=Plasmodium_falciparum_3D7 | product=ornithine aminotransferase (OAT) | location=Pf3D7_06_v3:362635-363879(+) | length=414 | sequence_SO=chromosome | SO=protein_coding"	"60.3864734299517"	"23"	"282"	"23"	"1"	"414"	"46.025"	"6.89"	""	"0.985"	"0.910"	"0.692"	"0.213"	"0.134"	"0.090"	"0.068"	"0.053"	"0.048"	"58283.5"	"57409.3"	"53048.9"	"40310.8"	"12386.4"	"7827.9"	"5243.7"	"3981.6"	"3106.3"	"2807.4"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"36.276"	"0"	"7573.89081927934"	"23"
